element_name,element_type,kw_loss,kvar_loss
Line.line_edge-000269,Line,0.000189266244121427,-0.0031768296501059013
Line.line_edge-000270,Line,0.0010723688331818267,-0.017979789132305087
Line.line_edge-000271,Line,2.1588697373364775e-05,-0.006504517880031148
Line.line_edge-000272,Line,0.00012273841338553246,-0.0368312168324566
Line.line_edge-000273,Line,6.076228357997593e-05,-0.006681657439984935
Line.line_edge-000274,Line,0.00034567915622224043,-0.03786071673944824
Line.line_edge-000275,Line,39.973497690167264,105.96178501304902
Line.line_edge-000281,Line,2.4540683974192387e-05,-0.001625287010984744
Line.line_edge-000283,Line,1.5596197879858666e-05,-0.0012690403126189268
Line.line_edge-000285,Line,0.00038736010505272136,-0.0014093962576753256
Line.line_edge-000287,Line,9.501765645332681e-05,-0.004292517274023343
Line.line_edge-000288,Line,1.058317427090552e-05,-0.0015134654118632226
Line.line_edge-000289,Line,5.998193224722986e-05,-0.008576267319338068
Line.line_edge-000291,Line,0.0006553567143730395,-0.005027152549365437
Line.line_edge-000293,Line,0.0012607928794055323,-0.0050316950292778025
Line.line_edge-000294,Line,0.0004061358959270739,-0.0018478062037845149
Line.line_edge-000295,Line,0.00230151749285098,-0.010470462337971938
Line.line_edge-000296,Line,4.0413792938672534e-05,-0.001515511540279575
Line.line_edge-000297,Line,0.00022913118533987706,-0.008587722166408908
Line.line_edge-000298,Line,0.00010788552991752187,-0.0016605246356839745
Line.line_edge-000299,Line,0.0006115882218069365,-0.009409295684955906
Line.line_edge-000300,Line,0.002645640967791136,-0.0007867759209470417
Line.line_edge-000301,Line,0.014993204981677458,-0.00445659731529731
Line.line_edge-000303,Line,0.0021453389831294772,-0.002240491984954133
Line.line_edge-000304,Line,1.6115755740884197e-06,-0.0010326022906779143
Line.line_edge-000305,Line,9.166368145088199e-06,-0.005864455861529109
Line.line_edge-000306,Line,0.0002194970550714088,-0.0021519367974531427
Line.line_edge-000307,Line,0.0012406066334167771,-0.01215716566327386
Line.line_edge-000308,Line,0.00702295817976119,0.0009663608009723248
Line.line_edge-000309,Line,0.039686096981022274,0.005465298468683613
Line.line_edge-000310,Line,0.005782003585714847,0.0011923472848029632
Line.line_edge-000311,Line,0.03270715996164654,0.006748803876562306
